"desc_cnt"|"flat_cnt"|"grp_name"|"grp_url"|"incr_cnt"|"stck_cnt"|"vart_rate"
1|0|"태풍및장마"|"/sise/sise_group_detail.naver?type=theme&no=82"|10|11|"2.29%"
1|2|"골판지제조"|"/sise/sise_group_detail.naver?type=theme&no=170"|10|13|"2.25%"
1|1|"제지"|"/sise/sise_group_detail.naver?type=theme&no=63"|13|15|"2.2%"
13|3|"2022상반기신규상장"|"/sise/sise_group_detail.naver?type=theme&no=509"|32|48|"2.14%"
3|0|"온실가스(탄소배출권)"|"/sise/sise_group_detail.naver?type=theme&no=152"|12|15|"2.14%"
2|1|"타이어"|"/sise/sise_group_detail.naver?type=theme&no=167"|10|13|"2.13%"
0|2|"홈쇼핑"|"/sise/sise_group_detail.naver?type=theme&no=38"|5|7|"2.08%"
1|0|"캐릭터상품"|"/sise/sise_group_detail.naver?type=theme&no=45"|8|9|"2.05%"
0|0|"면세점"|"/sise/sise_group_detail.naver?type=theme&no=380"|9|9|"2.01%"
5|0|"LNG(액화천연가스)"|"/sise/sise_group_detail.naver?type=theme&no=381"|17|22|"1.99%"
0|1|"항공/저가항공사(LCC)"|"/sise/sise_group_detail.naver?type=theme&no=166"|8|9|"1.97%"
4|0|"사료"|"/sise/sise_group_detail.naver?type=theme&no=105"|16|20|"1.95%"
0|2|"소모성자재구매대행(MRO)"|"/sise/sise_group_detail.naver?type=theme&no=312"|3|5|"1.94%"
2|0|"애플페이"|"/sise/sise_group_detail.naver?type=theme&no=521"|3|5|"1.73%"
1|0|"케이블TVSO/MSO"|"/sise/sise_group_detail.naver?type=theme&no=70"|7|8|"1.69%"
4|1|"겨울"|"/sise/sise_group_detail.naver?type=theme&no=266"|18|23|"1.67%"
1|0|"주류업(주정,에탄올등)"|"/sise/sise_group_detail.naver?type=theme&no=86"|11|12|"1.64%"
2|0|"전기자전거"|"/sise/sise_group_detail.naver?type=theme&no=268"|5|7|"1.55%"
1|0|"해운"|"/sise/sise_group_detail.naver?type=theme&no=36"|4|5|"1.54%"
1|0|"IT대표주"|"/sise/sise_group_detail.naver?type=theme&no=173"|5|6|"1.5%"
2|1|"도시가스"|"/sise/sise_group_detail.naver?type=theme&no=176"|7|10|"1.47%"
1|0|"조선"|"/sise/sise_group_detail.naver?type=theme&no=30"|5|6|"1.45%"
38|37|"기업인수목적회사(SPAC)"|"/sise/sise_group_detail.naver?type=theme&no=284"|58|133|"1.44%"
1|0|"2차전지(생산)"|"/sise/sise_group_detail.naver?type=theme&no=449"|3|4|"1.43%"
1|1|"자동차대표주"|"/sise/sise_group_detail.naver?type=theme&no=159"|5|7|"1.38%"
0|2|"백화점"|"/sise/sise_group_detail.naver?type=theme&no=318"|5|7|"1.35%"
2|2|"치아치료(임플란트등)"|"/sise/sise_group_detail.naver?type=theme&no=174"|9|13|"1.32%"
11|5|"2022하반기신규상장"|"/sise/sise_group_detail.naver?type=theme&no=518"|17|33|"1.06%"
9|2|"리츠(REITs)"|"/sise/sise_group_detail.naver?type=theme&no=310"|10|21|"0.08%"
1|2|"CCTV＆DVR"|"/sise/sise_group_detail.naver?type=theme&no=28"|11|14|"-0.35%"
